2017-03-02,Ed Sheeran: ‘I got hammered and cracked Justin Bieber in the face with a golf club’,Guardian,"['At one point he found himself crying in front of, improbably enough, the David Brent film: “When he was paying his band to hang out with them, it was like, ‘Shit, I’ve definitely been in that situation.’” So he unplugged himself from social media and went travelling for a year: Iceland, Ghana, Japan, a visit to Liberia for Comic Relief.']",1.0,0.0,liberia
2017-03-08,The Atlantic Daily: Protest and Prehistory,Atlantic,"['Answers: 92, 25, Liberia, Today marks 100 years since the start of the revolution that would eventually bring about the fall of the Roman Empire.']",1.0,0.0,liberia
2017-03-08,"China, C.I.A., International Women’s Day: Your Morning Briefing - The New York Times",New York Times,"['The size of your dreams must always exceed your current capacity to achieve them,” the Liberian president, Ellen Johnson Sirleaf, told a Harvard graduating class in 2011. “']",1.0,0.0,liberia
2017-04-07,Afrofuturism: The Next Generation - The New York Times,New York Times,"['Lina Iris Viktor, a British-Liberian artist in New York who paints queenly self-portraits with a futuristic edge, picked up the thread. “']",1.0,0.0,liberia
2017-04-11,"Assad’s Lesson From Aleppo: Force Works, With Few Consequences - The New York Times",New York Times,"['By way of example, he mentioned Charles G. Taylor, the former president of Liberia, whom Mr. Crane helped put behind bars in an international trial many years after he had committed his crimes.']",1.0,0.0,liberia
2017-04-11,"As President Joseph Kabila Digs In, Tensions Rise in Congo - The New York Times",New York Times,"['All he has to do is look at Charles Taylor, Liberia’s former president, who agreed to leave office under intense international pressure and was soon apprehended, prosecuted and sentenced to decades in prison.']",1.0,0.0,liberia
2017-04-24,American Airlines passenger explains why he defended mom hit with stroller,New York Post,"['He also is a board member of the The Last Well, a charity that provides clean water to Liberia, the paper reported.']",1.0,0.0,liberia
2017-05-01,Trump Administration Rolls Back Michelle Obama's Healthy School Lunch Push,NPR,"[""The first lady made the initiative a priority of her husband's final years in office, traveling in 2016 to Liberia and Morocco with her daughters, Malia and Sasha, and actresses Meryl Streep and Freida Pinto.,""]",1.0,0.0,liberia
2017-05-13,Africa’s new slave trade: how migrants flee poverty to get sucked into a world of violent crime,Guardian,"['They came from countries across West Africa, including Senegal, Guinea Bissau, Gambia, Liberia and Nigeria, and described a system controlled by Libyans, but often run on a day-to-day basis by their fellow countrymen, who had joined the trade or been co-opted as guards.,', 'People were tied up like goats, beaten with broom handles and pipes every blessed day, to get the money,” said Isoomah, from Liberia. “']",1.0,0.0,liberia
2017-05-15,"CNN 10 - May 16, 2017",CNN,"['BEGIN VIDEOTAPE), SUBTITLE: Dr. Moses worked tirelessly to fight Ebola in Liberia.']",1.0,0.0,liberia
